customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
6641-TNNBG,Female,0,No,Yes,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),87.64,5205.06,No
7023-YJPRJ,Female,0,No,No,18,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),87.65,1581.58,No
8991-LUFKY,Female,1,No,No,67,No,No phone service,DSL,No,No,No,Yes,No,Yes,Two year,No,Mailed check,60.5,4152.8,No
9644-IRGSL,Male,0,Yes,Yes,17,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),61.41,1088.82,Yes
0867-ZIECS,Female,1,No,No,34,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),37.7,1376.97,No
2211-JAIQW,Male,0,No,Yes,30,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.89,745.61,No
8097-ZQCYQ,Female,0,Yes,No,19,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),18.25,393.18,No
0585-VVTYO,Female,1,No,Yes,9,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),89.13,792.22,Yes
4339-BYOUG,Female,0,No,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.75,880.24,Yes
4207-UQMPZ,Female,0,No,No,44,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,78.19,3410.44,No
1943-QJXFV,Female,0,No,Yes,59,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),84.75,5049.04,No
0834-YYQEM,Female,0,No,No,25,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,37.17,969.86,Yes
3453-WIKAK,Female,0,No,Yes,71,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),100.53,7151.13,No
6316-QVFPV,Female,0,No,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),67.19,3573.96,Yes
2711-ICLMK,Male,0,Yes,No,48,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,70.07,3428.42,No
5938-DOQHR,Male,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,86.1,6039.15,Yes
8826-YQUBJ,Female,0,No,No,53,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,26.51,1408.96,Yes
5203-EMDKJ,Female,0,Yes,Yes,49,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.25,976.73,No
2719-RNDVK,Female,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,24.84,1108.58,No
0104-IWDJH,Male,0,Yes,No,19,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,109.64,2013.59,No
4925-UYJIV,Female,1,No,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,No,Electronic check,74.0,4912.99,No
3693-XSWYV,Male,0,Yes,No,34,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,44.59,1521.74,No
8038-LSQDU,Male,1,No,No,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.25,1041.26,No
7680-GXBYJ,Male,0,Yes,No,1,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),56.45,35.01,No
0098-CEBDZ,Male,0,Yes,No,55,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Credit card (automatic),60.47,3365.87,No
3559-KEBCX,Male,0,No,Yes,15,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),61.23,852.66,No
0574-FKUSZ,Female,0,No,No,15,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,82.78,1365.84,Yes
1846-IJICK,Female,0,Yes,Yes,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.25,513.06,No
0007-JHZWP,Female,0,Yes,Yes,66,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,53.55,3541.02,No
4786-HZPRE,Female,0,No,No,46,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,34.38,1528.96,No
6365-LCVQS,Female,1,Yes,No,9,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,71.41,699.62,No
5075-WZUDF,Male,0,No,No,66,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,66.61,4446.54,Yes
5033-UFSQL,Female,0,Yes,No,66,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,55.18,3732.29,No
0100-TMGZR,Female,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Electronic check,84.36,1505.56,No
2605-ZJZTD,Male,0,No,No,17,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,69.1,1175.65,No
3736-ZLRBS,Female,0,No,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.39,1670.21,No
5318-GFHYZ,Male,0,No,No,34,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,46.64,1578.55,Yes
3549-FTMLP,Female,1,Yes,No,69,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),90.47,6176.37,Yes
4708-BQVWE,Male,0,Yes,No,64,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,45.1,2960.0,No
6991-YVZKL,Female,0,Yes,No,44,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,80.37,3511.01,Yes
4811-GOHYJ,Female,0,No,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.22,705.88,No
3136-EAVNL,Male,0,Yes,No,62,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Mailed check,74.04,4491.68,No
9849-VWIWN,Male,0,Yes,No,16,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,41.67,617.02,No
4792-AUBJJ,Male,0,No,No,52,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,40.29,2121.01,No
2629-YPDHN,Male,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.08,18.8,No
0422-ANDEH,Male,0,Yes,Yes,61,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),36.24,2140.8,No
9302-TOKQK,Male,0,No,Yes,4,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,53.58,240.92,No
2482-YKVTM,Male,0,No,Yes,52,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Electronic check,82.2,4344.88,Yes
2981-GIPPD,Male,0,No,No,41,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,63.94,2619.58,No
1935-KLCXZ,Female,0,No,No,52,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),64.16,3400.48,No
7286-WFSHJ,Female,0,No,No,31,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),67.42,2087.82,Yes
8093-ERGDG,Male,1,No,Yes,26,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,76.66,2008.73,No
9508-XKELD,Female,1,No,No,27,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,68.43,1849.97,No
9415-FUJWJ,Female,0,No,No,51,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,67.58,3531.58,Yes
9800-XGDRE,Female,0,No,No,48,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,48.07,2320.03,No
0829-HXCEP,Female,0,Yes,No,11,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),66.01,692.78,No
1329-PQXKC,Male,0,No,No,8,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,37.07,262.38,Yes
6358-OILJT,Female,1,No,Yes,12,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,47.47,508.87,No
5951-UZNSH,Male,0,Yes,Yes,45,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),69.15,3080.8,No
1676-QJGIW,Female,1,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,86.51,3045.36,Yes
8353-DQVLV,Female,1,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.25,1308.67,No
0431-NIAGU,Female,0,Yes,Yes,47,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),66.16,3042.67,Yes
2167-RVUAR,Male,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,22.83,491.36,No
8722-DKQFU,Female,0,Yes,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.42,843.93,No
3390-RFZUK,Male,1,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.12,435.07,No
1574-TGWMU,Female,0,No,No,21,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,71.55,1466.62,No
2441-FVLRH,Male,1,Yes,Yes,28,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),51.17,1471.51,No
5618-HKJRY,Female,0,Yes,No,67,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),53.72,3701.15,No
3757-CBHED,Male,0,Yes,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),25.05,1790.66,No
7833-SNZMJ,Male,1,No,Yes,14,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),104.64,1443.52,Yes
3751-QIXPT,Female,0,No,No,52,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,70.02,3734.54,No
8081-FGGMB,Male,0,Yes,No,43,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,91.03,3798.81,No
4289-BHQUL,Female,0,No,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),23.38,1533.0,No
9183-SEBUA,Female,0,No,No,19,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,105.25,1937.9,Yes
4834-BWMSK,Female,0,Yes,No,27,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),46.57,1380.93,No
4273-WXBKH,Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,112.45,2090.83,Yes
1582-PAXIQ,Female,1,Yes,Yes,13,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),57.05,738.28,No
7772-DNIOM,Female,1,Yes,Yes,1,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,84.43,75.33,No
3868-NTBOF,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,27.48,862.66,No
7544-MHCYO,Female,0,Yes,No,13,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.25,261.33,No
7517-VABOJ,Female,0,Yes,No,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.64,1350.65,Yes
0944-HTIPR,Female,0,Yes,No,1,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,77.39,48.03,No
5020-OAKZQ,Female,1,Yes,No,28,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,38.72,1069.26,No
4988-YCDON,Male,0,Yes,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.98,893.19,No
8343-OWJWP,Male,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),28.22,2080.59,No
8669-SARQK,Female,0,No,No,55,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.82,1041.57,No
2117-VSMGT,Female,0,Yes,Yes,26,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,68.85,1777.46,No
7594-RDJGY,Female,0,No,No,14,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Electronic check,58.63,822.87,No
8452-DXEJQ,Female,0,No,No,68,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),63.0,4295.18,No
7419-ZCZND,Female,0,No,Yes,63,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,82.92,5225.69,Yes
7007-MYBAK,Female,0,No,No,14,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Electronic check,92.22,1308.27,No
4972-SMVNG,Female,0,No,No,27,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Electronic check,114.95,3163.64,No
2224-RGNLB,Female,0,No,Yes,41,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),61.47,2575.79,Yes
4358-XPDAW,Male,0,Yes,Yes,3,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),65.84,240.48,No
4042-ETJLR,Female,0,Yes,Yes,59,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,58.26,3475.12,Yes
3623-CXXEZ,Male,0,No,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.02,535.35,Yes
0800-SOHVI,Female,0,No,No,18,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),47.96,881.16,Yes
7382-NYBMB,Female,0,Yes,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.25,753.74,No
2785-IMBLK,Male,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.88,147.35,No
4816-PFPVB,Female,1,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.71,584.72,No
6499-QXSQS,Male,1,No,No,41,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),64.23,2570.87,No
9581-CRVWA,Female,0,No,No,45,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),77.77,3483.09,No
3029-EHORP,Female,1,No,No,9,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,47.47,423.34,Yes
0318-YDONC,Male,0,Yes,No,48,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,86.09,4181.13,No
3185-NGZZP,Female,0,Yes,No,24,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),45.65,1043.05,No
2963-VVHAJ,Male,0,No,No,44,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,40.89,1838.96,Yes
6324-QYOHX,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,46.89,2715.18,Yes
0893-FPOVP,Male,0,No,Yes,66,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,73.49,4800.78,No
7378-JEYJA,Male,0,No,Yes,18,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),59.49,955.44,No
0181-ZZSJY,Female,0,No,No,29,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),43.78,1264.39,No
5581-TMDLG,Female,0,No,Yes,2,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,82.86,169.21,No
3759-DKUVN,Male,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.12,1843.64,Yes
0264-RJLQD,Female,1,No,No,39,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),113.65,4472.81,Yes
9373-REHOK,Female,0,No,Yes,41,No,No phone service,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),79.56,3306.53,No
1608-PJZFG,Female,0,No,Yes,71,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),53.34,3838.26,No
2619-PFJCE,Male,0,No,Yes,22,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,62.98,1370.99,Yes
1700-VIIBQ,Male,0,Yes,Yes,49,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,85.25,4146.41,Yes
8742-JDXJH,Male,0,No,No,28,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),94.53,2639.43,No
7667-JOYVD,Male,0,Yes,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.25,302.38,No
8559-BFHCF,Male,0,Yes,No,68,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,67.5,4596.36,No
0714-BTCVL,Male,0,No,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.25,1119.11,No
0974-YCVBP,Male,0,Yes,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.12,651.01,No
6996-ICBUS,Male,0,No,No,22,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,60.01,1241.79,No
1611-KUVGQ,Male,0,No,No,11,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,67.05,833.4,Yes
6979-WXLHL,Female,0,No,No,42,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),60.26,2502.96,Yes
5229-KKHUR,Male,0,No,Yes,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,23.81,1266.35,No
2825-NTKJU,Female,0,Yes,Yes,35,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,34.78,1278.14,No
1159-TJGGZ,Female,1,Yes,Yes,57,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,88.96,5064.78,Yes
4152-RWQVQ,Female,1,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),85.52,2916.08,Yes
3361-LKPNT,Male,1,Yes,No,70,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),67.68,4777.78,No
6949-ZLDMK,Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,76.96,354.41,Yes
5627-BNBIL,Male,0,Yes,No,46,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,59.55,2763.29,No
8409-HFWCE,Male,0,No,No,11,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,89.67,987.52,No
5657-CMXFG,Female,0,Yes,No,61,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,88.48,5454.26,No
8715-BMDPQ,Male,0,Yes,No,35,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,67.69,2364.07,No
1973-GRVHH,Male,0,Yes,Yes,69,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),84.68,5835.51,No
4083-XAEKF,Male,1,No,No,57,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,43.25,2433.29,No
7219-OZUXP,Male,0,Yes,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,224.22,No
3435-XPQYE,Male,1,Yes,No,12,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.12,930.69,Yes
2894-DCWPD,Female,0,No,No,43,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,39.09,1729.8,No
5035-XFMIH,Male,0,Yes,No,19,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,59.52,1003.11,Yes
0285-SXNKZ,Female,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.53,1551.32,No
9737-IRTDA,Male,0,No,No,59,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,58.93,3562.17,Yes
8271-MGJEX,Female,0,No,Yes,2,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),77.15,84.03,Yes
8501-ZBLPA,Male,0,No,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.67,89.8,No
1213-XZQCH,Male,0,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.87,650.56,No
1074-VNAFG,Female,0,No,No,21,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),85.7,1740.13,No
7939-CPWJJ,Female,1,Yes,No,29,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),72.42,2036.81,No
1677-IQRRS,Female,0,No,Yes,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.05,757.5,No
4217-FJJNE,Male,1,Yes,No,29,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),77.18,2340.58,No
6401-ZJFHQ,Female,0,Yes,No,37,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,74.88,2799.41,Yes
0600-JBISC,Male,0,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,29.17,515.66,No
9419-ILLWR,Male,0,Yes,No,12,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,83.1,986.76,No
2452-SVPUY,Female,0,Yes,No,48,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),59.24,2893.36,No
